ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000546,04005,CREG,E321M,RCW 42 EG,Dometic,7370189,EG,NH3,1,,,,40,10.5,,,,1.6,0,2009,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000547,04006,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000548,04007,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000549,04008,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000550,04009,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000558,04011,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,J65300058B,E,Unknown,1,,,,103,30,,,,0,0,2008,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000559,04012,CREG,E321M,RCW 42 EG,Dometic,9205127,EG,NH3,1,,,,40,10.5,,,,1.6,0,2009,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000904,04013,URAC,NP001,domestic fridge with freezer,domestic manufacturer,16904AF5800122v,E,Unknown,1,,,,68.7,24,,,,7.75,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000574,04014,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000575,04015,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000230,04017,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000231,04018,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,011TRJL00412,E,Unknown,1,,,,103,30,,,,0,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000232,04019,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000444,04021,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,1694AF5L00099N,E,Unknown,1,,,,103,30,,,,0,0,2009,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000445,04022,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,118,E,Unknown,1,,,,103,30,,,,0,0,2009,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000446,04023,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,SRG118,E,Unknown,1,,,,103,30,,,,0,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000448,04025,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,702INTX00025,E,Unknown,1,,,,103,30,,,,0,0,2007,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000449,04026,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000447,04027,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,6081NP00008,E,Unknown,1,,,,68.7,24,,,,7.75,0,2007,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000451,04028,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,8091NX00026,E,Unknown,1,,,,103,30,,,,0,0,2009,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000452,04029,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000453,04030,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2008,,2,1,,,,0,,,3,,,,,,,,,,,,,
R-000450,04031,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,8050038,E,Unknown,1,,,,103,30,,,,0,0,1998,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000454,04032,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000455,04033,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,7123343,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,4,,,,,,,,,,,,,
R-000261,04035,CREG,E321M,RCW 42 EG,Dometic,4260702,EG,NH3,1,,,,40,10.5,,,,1.6,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
